uid,max_distance_from_home,maximum_distance,max_tot,wait,distance_straight_line,sld_avg,radius_of_gyration,norm_uncorrelated_entropy,number_of_visits,nv_avg,number_of_locations,nlr,raw_home_freq,raw_work_freq,raw_least_freq,home_freq_avg,work_freq_avg,hf_tot_df,wf_tot_df,n_user_home,n_user_work,n_user_home_avg,n_user_work_avg,home_entropy,work_entropy,class
37123,12.100800983211798,12.100800983211798,0.3681938068073794,0.0,230.91391785958515,7.697130595319505,4.50303544285068,0.8897082044657145,47,1.5666666666666667,20,0.0088261253309797,10,6,1,0.26666666666666666,0.2,0.6129032258064516,0.000966183574879227,542,29,0.005779678649867067,0.0006935614379840481,7.9109739649211,3.4541074797971483,5
37199,7.521611774962849,8.1950618278016,0.2493529986639976,0.0,69.30825198350261,2.3102750661167537,2.9468145153717438,0.8098795254954112,20,0.6666666666666666,5,0.002206531332744925,10,5,1,0.03333333333333333,0.16666666666666666,0.038461538461538464,0.003864734299516908,86,104,0.005779678649867067,0.0006935614379840481,5.363073962271022,5.448784211379391,5
37208,7.05202086677608,7.684921353409986,0.2338308391364291,0.0,50.82255021410154,1.694085007136718,2.339495809838615,0.9196494004967484,24,0.8,13,0.005736981465136805,5,4,1,6.0,0.13333333333333333,0.07692307692307693,0.0004830917874396135,82,66,0.005779678649867067,0.01976650098254537,4.626152304948698,4.021501512239931,5
37306,7.187206812356325,7.187206812356325,0.21868676629131936,0.0,22.31922878607333,0.7439742928691111,2.3311917778683764,0.7023392365317856,18,0.6,4,0.00176522506619594,12,3,1,0.6666666666666666,0.1,0.07692307692307693,0.0004830917874396135,79,92,0.005779678649867067,0.01976650098254537,5.000063313215951,5.470390322780254,5
37352,1.0179055998693693,1.0179055998693693,0.030972043776805947,0.0,1.0179055998693693,0.03393018666231231,0.4407660543775819,0.8112781244591328,4,0.13333333333333333,2,0.00088261253309797,3,1,1,0.3333333333333333,0.03333333333333333,0.09615384615384616,0.0014492753623188406,26,127,0.005779678649867067,0.01976650098254537,4.4939427079182686,6.141671420800866,5
37359,11.948200021174483,11.948200021174483,0.36355058284121894,0.0,47.99730704928261,1.599910234976087,5.9188515903472085,0.886859507142915,8,0.26666666666666666,3,0.001323918799646955,4,3,1,0.3333333333333333,0.1,0.019230769230769232,0.02463768115942029,227,3,0.005779678649867067,0.01976650098254537,6.35182594582748,0.7253759284051441,5
37746,13.03513674517184,12.072082090882883,0.3673199705788071,0.0,57.40778235901605,1.913592745300535,5.315813649873111,0.9416178549113771,18,0.6,10,0.00441306266548985,4,3,1,0.16666666666666666,0.1,0.0625,0.000966183574879227,81,75,0.005779678649867067,0.01976650098254537,4.755417531839097,4.931801014138411,5
37858,6.358860210986769,12.006998991998868,0.3653396724175389,0.0,18.36646974359224,0.6122156581197413,3.8944712674776545,0.9609640474436812,5,0.16666666666666666,4,0.00176522506619594,2,1,1,0.4,0.03333333333333333,0.75,0.001932367149758454,24,96,0.005779678649867067,0.01976650098254537,2.845257222960694,5.166255749710893,5
38408,1.563921200319796,1.563921200319796,0.04758578387425689,0.0,1.563921200319796,0.052130706677326534,0.7819606016867249,1.0,2,0.06666666666666667,2,0.00088261253309797,1,1,1,0.1,0.03333333333333333,0.011142061281337047,0.000966183574879227,52,81,0.005779678649867067,0.01976650098254537,4.001353006082967,5.10840266643811,3
38497,26.28971711181621,26.28971711181621,0.7999231651456781,0.0,281.46338968597985,9.382112989532661,4.453323437328137,0.6943985548521396,70,2.3333333333333335,24,0.01059135039717564,29,14,1,0.13333333333333333,0.4666666666666667,0.005571030640668524,0.003381642512077295,67,25,0.0006935614379840481,0.01976650098254537,5.0489680101657175,3.3153291918955596,5
39012,9.768562868216323,9.768562868216323,0.29723027049827055,0.0,48.48445492092081,1.616148497364027,2.5925893662622252,0.9583832232923283,20,0.6666666666666666,13,0.005736981465136805,3,3,1,0.13333333333333333,0.1,0.002785515320334262,0.014009661835748793,226,18,0.0006935614379840481,0.01976650098254537,6.592345490431055,3.7685824788135225,5
39031,1.1589282658343911,1.1589282658343911,0.035262972311191715,0.0,1.1589282658343911,0.038630942194479705,0.5794641329551298,1.0,2,0.06666666666666667,2,0.00088261253309797,1,1,1,0.06666666666666667,0.03333333333333333,0.09192200557103064,0.0014492753623188406,38,41,0.01976650098254537,0.01976650098254537,4.749957705869951,4.012929523823727,4
39172,9.631116345978715,9.631116345978715,0.29304815409743806,0.0,12.045975285054535,0.40153250950181785,4.6809018810221,0.869915529773626,7,0.23333333333333334,3,0.001323918799646955,4,2,1,0.03333333333333333,0.06666666666666667,0.07799442896935933,0.013043478260869565,41,316,0.01976650098254537,0.01976650098254537,3.959025701370506,7.051596887491596,4
39696,15.730676317363601,15.730676317363601,0.47864084410447805,0.0,18.49412927434201,0.6164709758114004,5.832479428591196,0.8962406251802891,6,0.2,4,0.00176522506619594,3,1,1,0.9666666666666667,0.03333333333333333,0.06963788300835655,0.0004830917874396135,123,1536,0.01976650098254537,0.01976650098254537,5.472295742404645,9.979213062825618,4
39776,8.5251197423341,8.5251197423341,0.2593957454364819,0.0,8.5251197423341,0.28417065807780334,4.2625601409112726,1.0,2,0.06666666666666667,2,0.00088261253309797,1,1,1,0.5666666666666667,0.03333333333333333,0.0584958217270195,0.001932367149758454,339,41,0.01976650098254537,0.01976650098254537,6.934378976513083,4.072673001012674,3
39855,4.115402201848989,3.4188375322722937,0.10402574239587015,0.0,160.2131506579866,5.34043835526622,1.656369963646881,0.6138042625450321,71,2.3666666666666667,8,0.00353045013239188,32,27,1,0.1,0.9,0.0584958217270195,0.0004830917874396135,79,12,0.01976650098254537,0.01976650098254537,5.000063313215951,2.532565575766128,5
